age,gender,big_5_conscientiousness,sellmo_learning_goals,sellmo_perf_approach_orient,sellmo_perf_avoidance_orient,sellmo_work_avoidance,group_learn_colab,self_efficacy,interest_in_topic,lsq_activist,lsq_pragmatist,lsq_reflector,lsq_theorist,big_5_extraversion,programming_experience,programming_experience_years,programming_experience_lang,study_program,group_learn_ind,grade,big_5_open_mindedness
0.78125,0,0.47222222222222227,0.7395833333333334,0.5595238095238095,0.26041666666666663,0.32291666666666663,0.8,0.4523809523809524,0.6666666666666666,0.3,0.4,0.5,0.6,0.3333333333333333,0.6666666666666666,0.4,0.13636363636363635,0,0.75,0.4,0.7638888888888888
0.71875,0,0.6249999999999999,0.90625,0.5595238095238095,0.5625,0.22916666666666663,1,0.7976190476190476,0.6666666666666666,0.7,0.8,0.5,0.7,0.8055555555555555,0.75,0.26666666666666666,0.09090909090909093,1,0.2,0,0.8055555555555555
0.90625,1,0.2638888888888889,0.8125,0.21428571428571427,0,0.13541666666666666,0.7833333333333333,0.9166666666666666,0.6666666666666666,0.6,0.9,0.8,0.9,0.3888888888888888,1,0.6666666666666666,0.3181818181818182,0,0.5,0.46,0.4583333333333333
0.6875,0,0.6249999999999999,0.84375,0.17857142857142858,0.125,0.07291666666666666,0.65,0.7023809523809523,0.6666666666666666,0.6,0.7,0.6,0.8,0.9027777777777778,0.75,0.4666666666666667,0.13636363636363635,0,0.65,0,0.8472222222222222
0.78125,1,0.1111111111111111,0.6145833333333333,0.2857142857142857,0,0.5625,0.9333333333333332,0.5714285714285714,0.3333333333333333,0.9,0.6,0.2,0.4,0.8055555555555555,0.08333333333333333,0.06666666666666667,0.04545454545454545,0,0.4,0.26,0.6805555555555555
0.8125,1,0.4305555555555556,0.9375,0.5357142857142857,0,0,0.85,0.880952380952381,0.8333333333333333,0.5,0.7,0.6,0.8,0.4444444444444444,0.9583333333333334,0.6666666666666666,0.4090909090909091,0,0.65,0.4,0.7222222222222222
0.71875,1,0.6805555555555555,0.9375,0.6666666666666666,0.4583333333333333,0.53125,0.75,0.7857142857142857,0.6666666666666666,0.4,0.9,0.7,0.9,0.4861111111111111,0.7916666666666666,0.4,0.2272727272727273,0,0.65,0.33999999999999997,0.2222222222222222
0.6875,0,0.736111111111111,0.8125,0.6904761904761906,0.22916666666666663,0.4583333333333333,1,0.6071428571428571,0.8333333333333333,0.3,0.5,0.7,0.9,0.4444444444444444,0.7916666666666666,0.4,0.09090909090909093,0,0,0.33999999999999997,0.638888888888889
0.71875,1,0.4444444444444444,0.3125,0.15476190476190474,0.21875,0.41666666666666663,0.7333333333333333,0.5,0.6666666666666666,0.5,0.8,0.8,0.6,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.13636363636363635,0,0.75,0.5599999999999999,0.8333333333333334
0.84375,0,0.7916666666666666,0.8958333333333334,0.7857142857142857,0.13541666666666666,0.24999999999999997,0.31666666666666665,0.869047619047619,0.3333333333333333,0.5,0.8,0.7,0.9,0.5555555555555556,0.625,0.4,0.09090909090909093,0,0.9,0.46,0.7916666666666666
0.875,1,0.7916666666666666,0.875,0.369047619047619,0.1875,0.44791666666666663,0.85,0.6071428571428571,0.5,0.5,0.9,0.7,0.8,0.5694444444444444,0.75,1,0.09090909090909093,0,0.6,0.5,0.6388888888888888
0.84375,1,0.6805555555555555,0.8229166666666666,0.2857142857142857,0.0625,0.49999999999999994,0.6333333333333333,0.6071428571428571,0.5,0.3,0.8,0.8,0.7,0.25,0.375,0.2,0.09090909090909093,0,0.6,0.42,0.7083333333333334
0.8125,1,0.5972222222222222,0.71875,0.2857142857142857,0.0625,0.4583333333333333,0.9,0.5238095238095238,0.6666666666666666,0.4,0.7,0.7,0.6,0.8611111111111112,0.3333333333333333,0.13333333333333333,0.09090909090909093,0,0.4,0.58,0.4444444444444444
0.78125,1,0.4305555555555555,0.6354166666666666,0.23809523809523808,0.3333333333333333,0.7395833333333333,0.4,0.5119047619047619,0.3333333333333333,0.4,0.8,0.7,0.5,0.5416666666666666,0.5416666666666666,0.2,0.18181818181818185,0,0.95,0.46,0.34722222222222215
1,1,0.4305555555555555,1,0.6428571428571429,0.375,0.6562500000000001,0.55,0.8452380952380952,1,0.8,0.7,0.8,0.9,0.4583333333333333,1,1,0.3181818181818182,0.5,0.85,0.6,0.9444444444444444
0.78125,1,0.8472222222222222,0.8020833333333334,0.5119047619047619,0.26041666666666663,0.5625,0.8333333333333333,0.5595238095238095,0.3333333333333333,0.4,0.3,0.6,0.6,0.5694444444444444,0.7916666666666666,0.4666666666666667,0.2272727272727273,1,0.25,0.36,0.7916666666666666
0.8125,0,0.6666666666666666,0.9270833333333334,0.7738095238095237,0.34375,0.15625,0.95,0.5952380952380951,0.6666666666666666,0.4,0.9,0.9,0.8,0.5555555555555556,0.25,0.13333333333333333,0.09090909090909093,0,0.45,0,0.75
0.8125,0,0.5138888888888888,0.625,0.42857142857142855,0.26041666666666663,0.4895833333333333,0.4666666666666666,0.41666666666666663,1,0.6,0.7,0.4,0.7,0.75,0.375,0.06666666666666667,0.04545454545454545,1,0.5,0.4,0.3055555555555555
0.8125,1,0.6527777777777778,0.5625,0.6428571428571429,0.9375,0.5833333333333333,0.5333333333333333,0.4404761904761904,0.3333333333333333,0.4,0.3,0.6,0.3,0.513888888888889,0.875,0.2,0.04545454545454545,1,0.55,0.42,0.736111111111111
0.78125,1,0.736111111111111,0.5416666666666667,0.25,0.3125,0.40624999999999994,0.3,0.46428571428571425,0,0.6,0.9,0.8,0.7,0.2916666666666667,0.125,0.06666666666666667,0.04545454545454545,1,0.75,0.54,0.5555555555555555
0.84375,1,0.6805555555555555,0.8333333333333334,0.8928571428571429,0.8125,0.65625,0.65,0.369047619047619,0.5,0.6,0.7,0.9,0.6,0.5555555555555556,0.20833333333333337,0.13333333333333333,0.13636363636363635,0,0.45,0,0.625
